Orthogroup	chimp	human	rhesus	Total
OG0000549	1	1	2	4
OG0000550	1	2	1	4
OG0000551	1	1	2	4
OG0000552	1	1	2	4
OG0000553	1	1	2	4
OG0000554	1	1	2	4
OG0000555	1	1	2	4
OG0000556	1	1	2	4
OG0000557	1	1	2	4
OG0000558	1	1	2	4
OG0000559	1	1	2	4
OG0000560	1	1	2	4
OG0000561	1	1	2	4
OG0000562	1	2	1	4
OG0000563	1	1	2	4
OG0000564	1	1	2	4
OG0000565	1	1	2	4
OG0000566	1	1	2	4
OG0000567	1	1	2	4
OG0000568	1	2	1	4
OG0000569	1	1	2	4
OG0000570	1	2	1	4
OG0000571	1	2	1	4
OG0000572	1	2	1	4
OG0000573	1	2	1	4
OG0000574	1	1	2	4
OG0000575	1	2	1	4
OG0000576	1	1	2	4
OG0000577	0	2	2	4
OG0000578	0	3	1	4
OG0000579	0	4	0	4
OG0000580	0	1	3	4
OG0000581	0	4	0	4
OG0000582	0	4	0	4
OG0000583	0	3	1	4
OG0000584	0	1	3	4
OG0000585	0	3	1	4
OG0000586	0	4	0	4
OG0000587	0	1	3	4
OG0000588	0	1	3	4
OG0000589	0	4	0	4
OG0000590	0	1	3	4
OG0000591	0	4	0	4
OG0000592	0	0	4	4
OG0000593	0	0	4	4
OG0000594	0	0	4	4
OG0000595	0	0	4	4
OG0000596	0	0	4	4
OG0000597	1	1	1	3
OG0000598	1	1	1	3
OG0000599	1	1	1	3
OG0000600	1	1	1	3
OG0000601	1	1	1	3
OG0000602	1	1	1	3
OG0000603	1	1	1	3
OG0000604	1	1	1	3
OG0000605	1	1	1	3
OG0000606	1	1	1	3
OG0000607	1	1	1	3
OG0000608	1	1	1	3
OG0000609	1	1	1	3
OG0000610	1	1	1	3
OG0000611	1	1	1	3
OG0000612	1	1	1	3
OG0000613	1	1	1	3
OG0000614	1	1	1	3
OG0000615	1	1	1	3
OG0000616	1	1	1	3
OG0000617	1	1	1	3
OG0000618	1	1	1	3
OG0000619	1	1	1	3
OG0000620	1	1	1	3
OG0000621	1	1	1	3
OG0000622	1	1	1	3
OG0000623	1	1	1	3
OG0000624	1	1	1	3
OG0000625	1	1	1	3
OG0000626	1	1	1	3
OG0000627	1	1	1	3
OG0000628	1	1	1	3
OG0000629	1	1	1	3
OG0000630	1	1	1	3
OG0000631	1	1	1	3
OG0000632	1	1	1	3
OG0000633	1	1	1	3
OG0000634	1	1	1	3
OG0000635	1	1	1	3
OG0000636	1	1	1	3
OG0000637	1	1	1	3
OG0000638	1	1	1	3
OG0000639	1	1	1	3
OG0000640	1	1	1	3
OG0000641	1	1	1	3
OG0000642	1	1	1	3
OG0000643	1	1	1	3
OG0000644	1	1	1	3
OG0000645	1	1	1	3
OG0000646	1	1	1	3
OG0000647	1	1	1	3
OG0000648	1	1	1	3
OG0000649	1	1	1	3
OG0000650	1	1	1	3
OG0000651	1	1	1	3
OG0000652	1	1	1	3
OG0000653	1	1	1	3
OG0000654	1	1	1	3
OG0000655	1	1	1	3
OG0000656	1	1	1	3
OG0000657	1	1	1	3
OG0000658	1	1	1	3
OG0000659	1	1	1	3
OG0000660	1	1	1	3
OG0000661	1	1	1	3
OG0000662	1	1	1	3
OG0000663	1	1	1	3
OG0000664	1	1	1	3
OG0000665	1	1	1	3
OG0000666	1	1	1	3
OG0000667	1	1	1	3
OG0000668	1	1	1	3
OG0000669	1	1	1	3
OG0000670	1	1	1	3
OG0000671	1	1	1	3
OG0000672	1	1	1	3
OG0000673	1	1	1	3
OG0000674	1	1	1	3
OG0000675	1	1	1	3
OG0000676	1	1	1	3
OG0000677	1	1	1	3
OG0000678	1	1	1	3
OG0000679	1	1	1	3
OG0000680	1	1	1	3
OG0000681	1	1	1	3
OG0000682	1	1	1	3
OG0000683	1	1	1	3
OG0000684	1	1	1	3
OG0000685	1	1	1	3
OG0000686	1	1	1	3
OG0000687	1	1	1	3
OG0000688	1	1	1	3
OG0000689	1	1	1	3
OG0000690	1	1	1	3
OG0000691	1	1	1	3
OG0000692	1	1	1	3
OG0000693	1	1	1	3
OG0000694	1	1	1	3
OG0000695	1	1	1	3
OG0000696	1	1	1	3
OG0000697	1	1	1	3
OG0000698	1	1	1	3
OG0000699	1	1	1	3
OG0000700	1	1	1	3
OG0000701	1	1	1	3
OG0000702	1	1	1	3
OG0000703	1	1	1	3
OG0000704	1	1	1	3
OG0000705	1	1	1	3
OG0000706	1	1	1	3
OG0000707	1	1	1	3
OG0000708	1	0	2	3
OG0000709	1	1	1	3
OG0000710	1	1	1	3
OG0000711	1	1	1	3
OG0000712	1	1	1	3
OG0000713	1	1	1	3
OG0000714	1	1	1	3
OG0000715	1	1	1	3
OG0000716	1	1	1	3
OG0000717	1	1	1	3
OG0000718	1	1	1	3
OG0000719	1	1	1	3
OG0000720	1	1	1	3
OG0000721	1	1	1	3
OG0000722	1	1	1	3
OG0000723	1	1	1	3
OG0000724	1	1	1	3
OG0000725	1	1	1	3
OG0000726	1	1	1	3
OG0000727	1	1	1	3
OG0000728	1	1	1	3
OG0000729	1	1	1	3
OG0000730	1	1	1	3
OG0000731	1	1	1	3
OG0000732	1	1	1	3
OG0000733	1	1	1	3
OG0000734	1	1	1	3
OG0000735	1	1	1	3
OG0000736	1	1	1	3
OG0000737	1	1	1	3
OG0000738	1	1	1	3
OG0000739	1	1	1	3
OG0000740	1	1	1	3
OG0000741	1	1	1	3
OG0000742	1	1	1	3
OG0000743	1	1	1	3
OG0000744	1	1	1	3
OG0000745	1	1	1	3
OG0000746	1	1	1	3
OG0000747	1	1	1	3
OG0000748	1	1	1	3
OG0000749	1	1	1	3
OG0000750	1	1	1	3
OG0000751	1	1	1	3
OG0000752	1	1	1	3
OG0000753	1	1	1	3
OG0000754	1	1	1	3
OG0000755	1	1	1	3
OG0000756	1	1	1	3
OG0000757	1	1	1	3
OG0000758	1	1	1	3
OG0000759	1	1	1	3
OG0000760	1	1	1	3
OG0000761	1	1	1	3
OG0000762	1	1	1	3
OG0000763	1	1	1	3
OG0000764	1	1	1	3
OG0000765	1	1	1	3
OG0000766	1	1	1	3
OG0000767	1	1	1	3
OG0000768	1	1	1	3
OG0000769	1	1	1	3
OG0000770	1	1	1	3
OG0000771	1	1	1	3
OG0000772	1	1	1	3
